episode_num,timestep,episode_reward,episode_length,cumulative_reward,moving_avg_10,moving_avg_100,conditions_read,navigation_started,zones_reached,correct_zones,treatments_applied,episode_phases,final_distances,best_distances,loss,q_value_mean,exploration_rate,target_updates,loss_variance_window
141,3228,-7.759999999999998,23,-1382.75,-9.873999999999995,-10.079099999999997,True,True,True,False,False,TREAT,4,1,,,0.9767583999999999,0.0,
142,3252,-10.399999999999997,25,-1393.15,-10.887999999999995,-10.058099999999996,True,True,False,False,False,NAVIGATE,2,1,,,0.9765855999999999,0.0,
143,3276,-12.499999999999993,25,-1405.65,-10.887999999999995,-10.122299999999997,True,False,False,False,False,NAVIGATE,2,2,,,0.9764128,0.0,
144,3300,-10.799999999999997,25,-1416.45,-10.467999999999996,-10.080299999999996,True,True,False,False,False,NAVIGATE,5,2,,,,,
145,3328,-14.999999999999993,25,-1431.45,-10.467999999999995,-10.238099999999996,False,False,False,False,False,ANALYZE,2,2,,,0.9760384,0.0,
146,3352,-14.999999999999993,25,-1446.45,-10.467999999999998,-10.238099999999996,False,False,False,False,False,ANALYZE,1,1,,,0.9758656,0.0,
147,3376,-11.049999999999997,25,-1457.5,-11.068999999999996,-10.198599999999995,True,True,False,False,False,NAVIGATE,3,2,,,0.9756928,0.0,
148,3400,-9.4,25,-1466.9,-10.758999999999997,-10.176599999999995,True,True,False,False,False,NAVIGATE,5,1,,,,,
149,3428,-10.799999999999997,25,-1477.7,-10.868999999999996,-10.184599999999994,True,True,False,False,False,NAVIGATE,2,2,,,0.9753184000000001,0.0,
150,3444,-3.0900000000000007,17,-1480.79,-10.579999999999997,-10.155699999999994,True,True,True,False,False,TREAT,4,1,,,0.9752031999999999,0.0,
151,3468,-14.999999999999993,25,-1495.79,-11.303999999999997,-10.155699999999996,False,False,False,False,False,ANALYZE,2,2,,,0.9750304,0.0,
152,3492,-12.499999999999993,25,-1508.29,-11.513999999999996,-10.170699999999997,True,False,False,False,False,NAVIGATE,2,2,,,,,
